BLOQUE,ID_QUADRAT,TRAT_QUEMA,TRAT_PASTOREO,FECHA_MUESTREOS,COB_TOTAL,COB_MANTILLO,COB_DESNUDO,BIOMASA,TOTAL
1,77,Quema_primavera_2024,Pastoreo,2023-05-26,90,6,4,No,100
1,78,Quema_primavera_2024,Pastoreo,2023-05-26,47,39,14,No,100
1,79,Quema_primavera_2024,No pastoreo,2023-05-26,80,15,5,No,100
1,80,Quema_primavera_2024,Pastoreo,2023-05-26,20,55,25,No,100
1,81,Quema_primavera_2024,No pastoreo,2023-05-26,90,7,3,No,100
1,82,Quema_primavera_2024,No pastoreo,2023-05-26,36,44,20,No,100
1,83,No_quemado,No pastoreo,2023-05-26,50,33,17,No,100
1,84,No_quemado,Pastoreo,2023-05-26,80,15,5,No,100
1,85,No_quemado,No pastoreo,2023-05-26,82,13,5,No,100
1,86,No_quemado,No pastoreo,2023-05-26,60,35,5,No,100
1,87,No_quemado,Pastoreo,2023-05-26,90,1,9,No,100
1,88,No_quemado,Pastoreo,2023-05-26,60,35,5,No,100
1,89,Quema_otono_2023,Pastoreo,2023-05-26,73,25,2,No,100
1,90,Quema_otono_2023,Pastoreo,2023-05-26,80,19,1,No,100
1,91,Quema_otono_2023,No pastoreo,2023-05-26,95,2,3,No,100
1,92,Quema_otono_2023,No pastoreo,2023-05-26,85,11,4,No,100
1,93,Quema_otono_2023,No pastoreo,2023-05-26,37,55,8,No,100
1,94,Quema_otono_2023,Pastoreo,2023-05-26,40,30,30,No,100
4,95,Quema_otono_2023,No pastoreo,2023-05-26,50,15,35,No,100
4,96,Quema_otono_2023,No pastoreo,2023-05-26,37,53,10,No,100
4,97,Quema_otono_2023,Pastoreo,2023-05-26,70,5,25,No,100
4,98,Quema_otono_2023,No pastoreo,2023-05-26,44,46,10,No,100
4,99,Quema_otono_2023,Pastoreo,2023-05-26,52,33,15,No,100
4,100,Quema_otono_2023,Pastoreo,2023-05-26,55,35,10,No,100
4,101,No_quemado,No pastoreo,2023-05-26,25,10,65,No,100
4,102,No_quemado,No pastoreo,2023-05-26,90,3,7,No,100
4,103,No_quemado,No pastoreo,2023-05-26,79,7,14,No,100
4,104,No_quemado,Pastoreo,2023-05-26,82,9,9,No,100
4,105,No_quemado,Pastoreo,2023-05-26,40,30,30,No,100
4,106,No_quemado,No pastoreo,2023-05-26,45,10,45,No,100
4,107,Quema_primavera_2024,Pastoreo,2023-05-26,70,15,15,No,100
4,108,Quema_primavera_2024,No pastoreo,2023-05-26,35,35,30,No,100
4,109,Quema_primavera_2024,No pastoreo,2023-05-26,40,50,10,No,100
4,110,Quema_primavera_2024,Pastoreo,2023-05-26,50,20,30,No,100
4,111,Quema_primavera_2024,No pastoreo,2023-05-26,40,30,30,No,100
4,112,Quema_primavera_2024,Pastoreo,2023-05-26,70,15,15,No,100
2,113,No_quemado,No pastoreo,2023-05-26,75,20,5,No,100
2,114,No_quemado,Pastoreo,2023-05-26,60,20,20,No,100
2,115,No_quemado,Pastoreo,2023-05-26,95,1,4,No,100
2,116,No_quemado,No pastoreo,2023-05-26,94,5,1,No,100
2,117,No_quemado,Pastoreo,2023-05-26,72,15,13,No,100
2,118,No_quemado,No pastoreo,2023-05-26,60,32,8,No,100
2,119,Quema_primavera_2024,Pastoreo,2023-05-26,85,12,3,No,100
2,120,Quema_primavera_2024,No pastoreo,2023-05-26,83,14,3,No,100
2,121,Quema_primavera_2024,No pastoreo,2023-05-26,73,22,5,No,100
2,122,Quema_primavera_2024,Pastoreo,2023-05-26,40,30,30,No,100
2,123,Quema_primavera_2024,No pastoreo,2023-05-26,91,8,1,No,100
2,124,Quema_primavera_2024,Pastoreo,2023-05-26,69,16,15,No,100
2,125,Quema_otono_2023,No pastoreo,2023-05-26,60,15,25,No,100
2,126,Quema_otono_2023,Pastoreo,2023-05-26,78,19,3,No,100
2,127,Quema_otono_2023,No pastoreo,2023-05-26,85,13,2,No,100
2,128,Quema_otono_2023,Pastoreo,2023-05-26,58,27,15,No,100
2,129,Quema_otono_2023,Pastoreo,2023-05-26,70,20,10,No,100
2,130,Quema_otono_2023,No pastoreo,2023-05-26,90,8,2,No,100
3,131,No_quemado,No pastoreo,2023-05-26,99,0,1,No,100
3,132,No_quemado,Pastoreo,2023-05-26,65,29,6,No,100
3,133,No_quemado,No pastoreo,2023-05-26,79,17,4,No,100
3,134,No_quemado,Pastoreo,2023-05-26,85,10,5,No,100
3,135,No_quemado,No pastoreo,2023-05-26,61,35,4,No,100
3,136,No_quemado,Pastoreo,2023-05-26,34,58,8,No,100
3,137,Quema_primavera_2024,Pastoreo,2023-05-26,83,14,3,No,100
3,138,Quema_primavera_2024,Pastoreo,2023-05-26,60,25,15,No,100
3,139,Quema_primavera_2024,No pastoreo,2023-05-26,43,27,30,No,100
3,140,Quema_primavera_2024,Pastoreo,2023-05-26,95,5,0,No,100
3,141,Quema_primavera_2024,No pastoreo,2023-05-26,62,18,20,No,100
3,142,Quema_primavera_2024,No pastoreo,2023-05-26,90,10,0,No,100
3,143,Quema_otono_2023,No pastoreo,2023-05-26,70,12,18,No,100
3,144,Quema_otono_2023,Pastoreo,2023-05-26,88,10,2,No,100
3,145,Quema_otono_2023,No pastoreo,2023-05-26,90,8,2,No,100
3,146,Quema_otono_2023,Pastoreo,2023-05-26,70,23,7,No,100
3,147,Quema_otono_2023,No pastoreo,2023-05-26,43,52,5,No,100
3,148,Quema_otono_2023,Pastoreo,2023-05-26,60,25,5,No,90
