ID_QUADRAT,COB_TOTAL,COB_MANTILLO,COB_DESNUDO
1,1,14,85
2,1,2,97
3,20,30,50
4,4,90,6
5,1,95,4
6,2,90,8
7,8,40,52
8,1,96,3
9,8,30,62
10,7,88,5
11,2,9,89
12,1,79,20
13,3,23,74
14,2,60,38
15,1,13,86
16,2,96,2
17,8,1,91
18,8,0,92
19,1,3,96
20,1,1,98
21,6,4,90
22,1,1,98
23,0,0,100
24,5,5,90
25,1,2,97
26,1,2,97
27,1,1,98
28,75,25,0
29,15,35,50
30,40,50,10
31,20,78,2
32,35,64,1
33,12,83,5
34,85,6,9
35,50,49,1
36,60,34,6
37,25,65,10
38,50,37,13
39,25,40,35
40,75,23,2
41,30,68,2
42,37,57,6
43,20,76,4
44,80,18,2
45,60,38,2
46,2,2,96
47,1,4,95
48,1,4,95
49,7,53,40
50,3,67,30
51,4,56,40
52,6,79,15
53,1,15,84
54,30,50,20
